-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-102	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	-27	50	-27	-27	-27	-27	-27	-27	-27	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	52	-28	-28	-28	51	-28	-28	-102	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-28	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-102	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	-29	53	-29	-29	-29	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
54	54	54	54	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	54	-30	-30	54	-30	-30	-30	-30	-30	54	54	-102	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-30	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
55	55	55	55	-31	-31	-31	-31	-31	-31	-31	-31	-31	-31	-31	55	-31	-31	55	-31	-31	-31	-31	-31	55	55	-102	-31	-31	-31	-31	-31	-31	-31	-31	-31	-31	-31	-31	-31	-31	-31	-31	-31	-31	-31	-31	-31	-31	-31	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	56	-32	57	-32	57	57	57	-32	-32	-102	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-32	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
58	58	58	58	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33	58	-33	-33	58	-33	-33	-33	-33	-33	58	58	-102	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33	-33	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
59	59	59	59	-34	-34	-34	-34	-34	-34	-34	-34	-34	-34	-34	59	-34	-34	59	-34	-34	-34	-34	-34	59	59	-102	-34	-34	-34	-34	-34	-34	-34	-34	-34	-34	-34	-34	-34	-34	-34	-34	-34	-34	-34	-34	-34	-34	-34	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	60	61	-35	61	-35	61	61	61	-35	-35	-102	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-35	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
63	63	63	63	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	62	-36	-36	63	-36	-36	-36	-36	-36	63	63	-102	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-36	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
64	64	64	64	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	64	-37	-37	-37	-37	-37	64	64	-102	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-37	-101	-101	-101	-101	-101	-101	-101	-101	-101	-99
